filename,height,altitude,lidar,resnet50,resnet50_fus,waternet,waternet_fus_lt
frame_000000.jpg,2.31,2.28,2.30,3.677,0.643,0.00,15
frame_000001.jpg,2.31,2.28,2.30,1.747,1.064,0.00,15
frame_000002.jpg,2.31,2.28,2.30,1.985,7.219,10.00,15
frame_000003.jpg,2.31,2.28,2.30,1.998,7.006,10.00,15
frame_000004.jpg,2.31,2.28,2.30,2.037,5.103,10.00,11.7019658
frame_000005.jpg,2.31,2.28,2.30,2.527,4.966,10.00,11.7909122
frame_000006.jpg,2.31,2.28,2.30,3.293,5.801,10.00,13.425284
frame_000007.jpg,2.31,2.28,2.30,3.517,5.996,10.00,13.304584
frame_000008.jpg,2.31,2.28,2.30,4.156,5.250,5.26,5.8795688
frame_000009.jpg,2.31,2.28,2.30,4.419,5.154,3.93,5.520195
frame_000010.jpg,2.31,2.28,2.30,3.853,4.571,0.00,0.96418894
frame_000011.jpg,2.31,2.28,2.30,4.052,4.609,0.00,1.009359
frame_000012.jpg,2.31,2.28,2.30,3.828,4.447,0.00,0.5872236
frame_000013.jpg,2.31,2.28,2.30,3.828,4.475,0.00,0.7893272
frame_000014.jpg,2.31,2.28,2.30,4.359,4.715,0.00,1.28025854
frame_000015.jpg,2.31,2.28,2.30,4.711,4.922,2.71,3.326146
frame_000016.jpg,2.31,2.28,2.30,4.534,4.975,3.35,4.11967374
frame_000017.jpg,2.31,2.28,2.30,3.978,5.258,5.21,5.9465136
frame_000018.jpg,2.31,2.28,2.30,4.198,5.184,4.76,5.7785048
frame_000019.jpg,2.31,2.28,2.30,4.425,5.090,4.10,4.9266182
frame_000020.jpg,2.31,2.28,2.30,3.767,5.338,5.08,6.4305162
frame_000021.jpg,2.31,2.28,2.30,3.953,4.897,2.22,3.3785292
frame_000022.jpg,2.31,2.28,2.30,3.845,4.993,2.52,4.1250639
frame_000023.jpg,2.31,2.28,2.30,4.121,4.916,2.14,3.3267966
frame_000024.jpg,2.31,2.28,2.30,4.247,4.922,2.17,3.43421996
frame_000025.jpg,2.31,2.28,2.30,4.192,4.931,2.12,3.64959716
frame_000026.jpg,2.31,2.28,2.30,4.339,4.910,1.58,3.32602406
frame_000027.jpg,2.31,2.28,2.30,4.501,4.916,2.14,2.9690764
frame_000028.jpg,2.31,2.28,2.30,4.256,4.926,1.47,3.32520068
frame_000029.jpg,2.31,2.28,2.30,4.339,4.906,2.33,3.45483614
frame_000030.jpg,2.31,2.28,2.30,4.604,4.903,2.96,3.15817834
frame_000031.jpg,2.31,2.28,2.30,4.001,4.917,3.35,3.4641707
frame_000032.jpg,2.31,2.28,2.30,4.309,4.871,3.10,3.12996472
frame_000033.jpg,2.31,2.28,2.30,4.143,4.887,3.08,3.21192032
frame_000034.jpg,2.31,2.28,2.30,4.571,4.918,3.30,3.47709072
frame_000035.jpg,2.31,2.28,2.30,4.279,4.858,2.79,2.757330788
frame_000036.jpg,2.31,2.28,2.30,4.271,4.860,2.85,2.770970342
frame_000037.jpg,2.31,2.28,2.30,4.326,4.868,2.33,2.74446692
frame_000038.jpg,2.31,2.28,2.30,4.256,4.859,2.02,3.07450974
frame_000039.jpg,2.31,2.28,2.30,4.452,4.766,0.80,1.92808748
frame_000041.jpg,2.31,2.28,2.33,4.445,4.855,1.93,2.839069782
frame_000043.jpg,2.31,2.28,2.35,3.947,4.898,1.44,3.20963488
frame_000046.jpg,2.31,2.28,2.34,3.890,4.845,1.33,2.868646812
frame_000048.jpg,2.31,2.28,2.26,4.407,4.974,3.15,3.8738466
frame_000051.jpg,2.31,2.28,2.33,4.372,4.877,2.10,2.829612432
frame_000053.jpg,2.31,2.28,2.23,4.403,4.835,1.06,2.69642465
frame_000057.jpg,2.31,2.28,2.25,4.459,4.855,2.21,2.6684104
frame_000061.jpg,2.28,2.26,2.19,4.662,4.886,2.72,3.1342262
frame_000067.jpg,2.28,2.26,2.25,4.531,4.873,2.16,3.04754818
frame_000072.jpg,2.28,2.25,2.24,4.488,4.867,2.03,3.12573234
